town,country,water,type,visa_clock,cad_visa_free_days,col_tier,airbnb_month_peak_eur,hotel_night_peak_eur,tourism_tier,peak_months,tri_note,flag,score
Taghazout,Morocco,Atlantic surf bay,sea,visa-free 90d extendable,90,$$,550-900 (Oct-Apr surf peak est),35-70 (Oct-Apr surf peak est),3,Oct-Apr surf + summer,Excellent bike (Paradise Valley climbs) + run + surf; swim cold wetsuit surf-dominated; strong nomad base,none,7.8
Muizenberg,South Africa,False Bay (Indian Ocean influ),sea,visa-free 90d extendable,90,$$,700-1300 (Dec-Jan peak est),45-90 (Dec-Jan peak est),4,Dec-Feb,Best-value warmish CT swim (False Bay 19-21C summer) + surf-school beach + Peninsula cycling + Table Mtn trails,Situational awareness after dark; load-shedding ENDED,7.8
Tofo,Mozambique,Indian Ocean,sea,ETA visa-exempt 30d ext to 90d (~USD10),30,$$,500-1000 (Dec-Jan + Jun-Sep est),25-68 (peak est),3,Dec-Jan + Jun-Sep,Warmest tropical open-water (24-30C) + whale sharks/mantas + surf; elite swim + beach run; weak road bike,SAFE south; Cabo Delgado far north is Do-Not-Travel; cyclone-season road risk,7.7
Vilanculos,Mozambique,Indian Ocean (Bazaruto gateway),sea,ETA visa-exempt 30d ext to 90d (~USD10),30,$$,550-1100 (May-Oct + Dec-Jan est),60-150 (peak est),3,May-Oct + Dec-Jan,Warm calm clear water (30m viz) superb open-water + snorkel; own airport (daily JNB); weak road bike,SAFE south; Cabo Delgado far north Do-Not-Travel; cyclone-season flooding 2026,7.6
Jambiani,Zanzibar,Indian Ocean reef lagoon,sea,eVisa/VOA 90d (USD50 + USD44 insurance),0,$,950-1850 (Jun-Oct peak est),40-85 (Jun-Oct peak est),2,Jun-Oct + Dec-Feb,Quiet-focus pick: authentic village + growing nomad scene; swim best at high tide (recedes 500m+),none,7.6
Kendwa,Zanzibar,Indian Ocean open beach,sea,eVisa/VOA 90d (USD50 + USD44 insurance),0,$$,1250-2300 (Jun-Oct peak est),55-105 (Jun-Oct peak est),3,Jun-Oct + Dec-Feb,Best pure swim on island: most stable tide 24/7 deep water; resort-forward thin for work/community,none,7.5
Sal Rei,Cape Verde,Atlantic (Boa Vista),sea,visa-exempt 30d (EASE tax ~EUR30) OR remote-work visa,30,$$$,550-950 (Nov-Mar peak est),50-90 (Nov-Mar peak est),3,Nov-Mar,Warm calm swim near town + elite steady kite wind + endless flat beach run; monotonous flat cycling,none,7.5
Mirleft,Morocco,Atlantic coves,sea,visa-free 90d extendable,90,$,300-550 (Nov est),20-45 (Nov est),2,Winter surf + summer,Underrated balanced base: semi-calm cove swims + low-traffic Anti-Atlas climbs + cliff runs; cheap; thin services,none,7.5
Watamu,Kenya,Indian Ocean marine park,sea,eTA visa-free 90d (USD30),90,$$,500-1100 (Dec-Mar peak est),45-150 (Dec-Mar peak est),2,Dec-Mar + Jul-Aug,Strong quiet swim town (marine-park lagoons Turtle Bay) + calm; weaker structured bike/run; thin nomad scene,South edge of safe zone; do not travel coast N of Malindi,7.4
Nungwi,Zanzibar,Indian Ocean open beach,sea,eVisa/VOA 90d (USD50 + USD44 insurance),0,$$,1300-2400 (Jun-Oct peak est),55-110 (Jun-Oct peak est),4,Jun-Oct + Dec-Feb,Excellent all-day deep-water swim (minimal tide); heavy resort/party; no coworking,none,7.3
Pereybere,Mauritius,Indian Ocean lagoon,sea,visa-free 180d/yr + Premium Visa,180,$$$,800-1700 (Oct-Apr peak est),55-105 (Oct-Apr peak est),3,Oct-Apr,Reliably calm lagoon swim + snorkel + coastal run; quieter than Grand Baie; modest bike; very safe,Routine petty-theft caution,7.3
Essaouira,Morocco,Baie dEssaouira (Atlantic),sea,visa-free 90d extendable,90,$$,700-950 (Oct-Nov shoulder est),45-80 (Nov est),3,Jun Gnaoua + Jul-Aug,Strong beach/ramparts run + elite wind-sport; cold wind-chopped swim + gusty bike; real fishing-port town,none,7.2
Oualidia,Morocco,Oualidia lagoon,lagoon,visa-free 90d extendable,90,$$,500-800 (Nov off-peak est),50-95 (Nov est),2,Jun-Sep,Calm-swim gem: flatwater lagoon open-water + beginner surf + quiet rural riding; limited pool/gym; no nomad hub,none,7.2
Grand Baie,Mauritius,Indian Ocean sheltered bay,sea,visa-free 180d/yr + Premium Visa,180,$$$,900-1900 (Oct-Apr peak est),55-110 (Oct-Apr peak est),4,Oct-Apr,Good calm bay swim (mind boats) + coastal run; weaker flatter bike; lively hub but party-heavy,Named for petty theft at night,7.1
Sidi Ifni,Morocco,Atlantic (open + town beach),sea,visa-free 90d extendable,90,$,300-550 (Nov est),20-45 (Nov est),1,Modest summer + winter surf,Solitude/volume base: calmer-than-average town beach wetsuit swims + cliff riding + uncrowded surf; thin services,none,7.1
Matemwe,Zanzibar,Indian Ocean lagoon (Mnemba),sea,eVisa/VOA 90d (USD50 + USD44 insurance),0,$$$,1300-2600 (Jun-Oct peak est),55-115 (Jun-Oct peak est),2,Jun-Oct + Dec-Feb,World-class Mnemba snorkel/dive + long empty dawn runs; lagoon swim tide-dependent; boutique-quiet not nomad hub,none,7.0
Dakhla,Western Sahara (MA-admin),Dakhla lagoon + Atlantic,lagoon,visa-free 90d extendable,90,$$,500-800 (Apr-Sep kite peak est),45-85 (Apr-Sep est),3,Apr-Sep kite,Warmest calm MA lagoon (18-24C) wind-permitting + flat riding; kite-first; relentless wind compromises swim,Western Sahara disputed territory; practically stable and tourist-open; wind caveat,7.0
Knysna,South Africa,Knysna Lagoon,lake+sea,visa-free 90d extendable,90,$$,750-1500 (Dec-Jan peak est),70-150 (Dec-Jan peak est),3,Dec-Jan + Oyster Fest Jun/Jul,Lagoon open-water swim (watch tidal flow at Heads) + Garden Route cycling + forest trails; most touristed GR hub,Load-shedding ENDED 2026,7.0
Malindi,Kenya,Indian Ocean + marine park,sea,eTA visa-free 90d (USD30),90,$$,300-750 (Dec-Mar peak est),45-120 (Dec-Mar peak est),3,Dec-Mar + Jul-Aug,Authentic Swahili town (Little Italy) + cheapest of Kenya trio; weakest clean-water swim (Sabaki silt seasonal),Sits AT northern edge of safe zone; do not travel coast N of Malindi,6.9
Plettenberg Bay,South Africa,Indian Ocean (6 Blue Flag),sea,visa-free 90d extendable,90,$$$,850-1700 (Dec-Jan peak est),90-200 (Dec-Jan peak est),3,Dec-Jan,Good ocean swimming (Robberg 18-22C) + Garden Route cycling + Robberg peninsula trail run; upmarket affluent town,Load-shedding ENDED 2026,6.9
Nkhata Bay,Malawi,Lake Malawi (northern),lake,VOA/eVisa 90d single (USD75) NEW 2026,0,$,250-550 (May-Oct dry est),40-80 (May-Oct est),2,May-Oct dry,Excellent warm clear freshwater open-water (best-viz lake swim) + hill trails; not a road-bike base,Bilharzia (praziquantel post-trip); limited medical; malaria; power cuts,6.8
Cape Maclear,Malawi,Lake Malawi (southern),lake,VOA/eVisa 90d single (USD75) NEW 2026,0,$,250-600 (May-Oct dry est),20-40 (May-Oct est),2,May-Oct dry,Warm freshwater open-water swim + village/park trail runs; no road cycling; backpacker HQ,Bilharzia HIGHER here (praziquantel); limited medical; malaria; power cuts,6.7
Cape Town,South Africa,Atlantic Seaboard (Sea Point),sea,visa-free 90d extendable,90,$$,900-1600 (Dec-Jan 1800-3000 peak est),55-250 (Dec-Jan peak est),4,Dec-Feb,World-class cycling (Cycle Tour) + elite Table Mtn trail running; cold Atlantic swim (12-18C wetsuit; Sea Point tidal pool),High aggregate crime; Sea Point safer; awareness needed; load-shedding ENDED,6.7
Hammamet,Tunisia,Mediterranean (Gulf),sea,visa-free 90d (up to 4mo per Timatic),90,$,235-355 (summer long-stay est),35-70 (Jun-Sep peak est),3,Jun-Sep,Solid summer open-water swim (24-27C) + flat coastal cycling; cool seasonal winter (15C); no marquee tri,High-caution terrorism advisory countrywide (resort not avoid-zone),6.7
Sousse,Tunisia,Mediterranean (Sahel),sea,visa-free 90d (up to 4mo per Timatic),90,$,300-600 (summer est),30-60 (Jun-Sep peak est),3,Jun-Sep,Flat corniche cycling + summer sea swim + near Monastir tri scene; strong resident city life + UNESCO medina,2015 beach-attack reference site; security reinforced; caution advisory,6.6
Monastir,Tunisia,Mediterranean (Sahel + marina),sea,visa-free 90d (up to 4mo per Timatic),90,$,300-550 (summer est),19-55 (Jun-Sep peak est),3,Jun-Sep,Best Tunisia tri fit: hosts Monastir Intl Triathlon + flat coast + marina swim; airport on doorstep,High-caution terrorism advisory countrywide (resort not avoid-zone),6.6
Kalk Bay,South Africa,False Bay tidal pools,sea,visa-free 90d extendable,90,$$,800-1500 (Dec-Jan peak est),60-120 (Dec-Jan peak est),3,Dec-Feb,Tidal-pool laps (not big open water) + Boyes Drive/Peninsula cycling + immediate mountain trails; bohemian fishing village,Situational awareness; load-shedding ENDED,6.5
Djerba Houmt Souk,Tunisia,Mediterranean island,sea,visa-free 90d (up to 4mo per Timatic),90,$,300-550 (summer est),30-46 (Jun-Sep peak est),3,Jun-Sep,Dead-flat island roads (great cycling/running) + summer sea swim; genuine walkable town; leisure profile,2023 Ghriba synagogue attack reference; caution advisory,6.5
Kololi Kotu,The Gambia,Atlantic beach strip,sea,visa-free 90d (+USD20 airport fee each way),90,$,140-370 (Nov-Feb peak est),30-70 (Nov-Feb peak est),4,Nov-Feb,Warm ocean (28-29C Oct) long flat beach swim/run; cheapest country; flat coastal roads variable quality,Bumsters/harassment + petty crime on strip; limited advanced medical,6.4
Sahl Hasheesh,Egypt,Red Sea sheltered bay,sea,eVisa/VOA 30d ext (USD30),0,$$,400-800 (winter peak est),38-100 (winter peak est),4,Oct-Apr + summer,Calm-bay house-reef swim + flat roads; closest to HRG airport (20min); resort strip no tri community,High-caution terrorism advisory countrywide (resort not avoid-zone),6.4
Hurghada,Egypt,Red Sea open coast,sea,eVisa/VOA 30d ext (USD30),0,$,200-500 (winter peak est),25-45 (winter peak est),4,Oct-Apr + Jun-Aug,Open-water swim viable + flat desert roads (Hurghada Triclub); mass package hub; own international airport,High-caution terrorism advisory; scam/harassment realities; resort not avoid-zone,6.3
Popenguine,Senegal,Atlantic (Petite-Cote),sea,visa-free 90d extendable,90,$,400-900 (Nov-Feb peak est),35-80 (Nov-Feb peak est),2,Nov-Feb + Pentecost,Warm choppy open beach swim (caution) + quiet coastal riding + nature-reserve ridge trail running; francophone,Standard Senegal petty-crime awareness; limited services,6.3
Swakopmund,Namibia,Atlantic (Benguela current),sea,VOA/eVisa 90d NEW since Apr 2025 (NAD1600/~USD90),0,$$,500-1000 (Dec-Jan peak est),40-90 (Dec-Jan peak est),3,Dec-Jan,Flat desert road-bike miles + firm beach/dune runs; cold foggy Atlantic (13-17C) poor swim use pool; German-Namibian town,Safe town remain vigilant; regionally remote medical,6.2
Hermanus,South Africa,Walker Bay (Atlantic),sea,visa-free 90d extendable,90,$$,800-1600 (Sep-Oct + Dec-Jan est),70-150 (whale-season peak est),3,Sep-Oct whales + Dec-Jan,Excellent quiet coastal + mountain cycling + Fernkloof trail running; cold limited-spot swim (whale town not swim town),Load-shedding ENDED; no commercial airport (CPT 1.5h),6.1
Marsa Alam,Egypt,Red Sea (southern reefs),sea,eVisa/VOA 30d ext (USD30),0,$,250-500 (winter peak est),30-60 (winter peak est),4,Oct-Apr,Best-in-class pristine open-water swim + empty roads; no tri scene; logistically isolated; thin long-stay market,Remote; long distances to hospitals; caution advisory,6.0
Saly,Senegal,Atlantic (Petite-Cote),sea,visa-free 90d extendable,90,$$,500-1100 (Nov-Feb peak est),35-100 (Nov-Feb peak est),4,Nov-Feb,Calm warm Blue Flag beach = easiest Senegal comfortable swim + beach run + sports clubs; low cultural texture,ANTI-CANCUN FAIL: purpose-built package-tourism enclave; francophone; secured but touristy,5.8
Jeffreys Bay,South Africa,Indian Ocean (Supertubes),sea,visa-free 90d extendable,90,$$,500-1000 (Jul contest + Dec-Jan est),45-100 (peak est),3,Jul WSL contest + Dec-Jan,World surf mecca + quiet coastal cycling + dune trail run; cold (14-22C wetsuit) surf-dominated poor for flat swim sets,Load-shedding ENDED; PLZ airport 1h,5.7
Stone Town,Zanzibar,Indian Ocean harbor front,sea,eVisa/VOA 90d (USD50 + USD44 insurance),0,$$,1000-2000 (Jun-Oct peak est),45-95 (Jun-Oct peak est),3,Jun-Oct + Dec-Feb,Culture/logistics/airport base NOT a swim base (working port murky); transfer N/E to swim; worst tri base best transfers,Election-period tension historically centered here; market pickpocketing,5.4
