town,region,water,type,visa_clock,cad_visa_free_days,col_tier,airbnb_month_shoulder_eur,hotel_night_shoulder_eur,tourism_tier,peak_months,warm_now_jul_nov,tri_note,flag,score
Buzios (Armacao dos Buzios),Rio de Janeiro SE,Praia de Geriba + Ferradura,sea,Brazil eVisa 90/entry 180/yr,0 eVisa req since Apr2025,$$$,650-950 EST Sep2026 shoulder,45-80 EST,3,Dec-Feb + Jul,yes,"Chic peninsula, water ~24C in Jul (swimmable). Many beaches for open-water. Pricey, over budget ceiling. Good tri terrain",low; upscale resort town,6.7
Maragogi,Alagoas NE,Gales natural pools,sea + reef pools,Brazil eVisa 90/entry 180/yr,0 eVisa req since Apr2025,$$,500-720 EST Sep2026 shoulder,32-55 EST,3,Dec-Feb + Jul,yes,"Warm turquoise reef pools, calm. Small resort town, thin infra + weak nomad scene. Swim limited to pools/tide",low; small resort,6.6
Cabo Frio,Rio de Janeiro SE,Praia do Forte + Praia das Dunas,sea,Brazil eVisa 90/entry 180/yr,0 eVisa req since Apr2025,$$,480-680 EST Sep2026 shoulder,32-50 EST,3,Dec-Feb + Jul,partial,"Water ~22C Jul (cooler, wetsuit-optional). Cheaper than Buzios. Dunes + long beach for run/bike. Upwelling = cold snaps",Petty theft; watch late-night,6.4
Arraial do Cabo,Rio de Janeiro SE,Praia dos Anjos + Prainha,sea,Brazil eVisa 90/entry 180/yr,0 eVisa req since Apr2025,$$,480-680 EST Sep2026 shoulder,32-50 EST,3,Dec-Feb + Jul,partial,"Clearest water in region (Brazilian Caribbean), ~22-24C Jul. Cold-upwelling variable. Small town, epic snorkel/swim",low; day-trip crowds,6.3
Arraial dAjuda,Bahia NE,Praia de Pitinga + Mucuge,sea,Brazil eVisa 90/entry 180/yr,0 eVisa req since Apr2025,$$,480-680 EST Sep2026 shoulder,32-55 EST,3,Dec-Feb + Jul,yes,"Warm, gated long-stay houses w/ security. Bohemian, near Porto Seguro airport. Pricier boho strip; infra moderate",low; gated-condo safe,6.2
Morro de Sao Paulo,Bahia NE,Segunda + Terceira Praia,sea,Brazil eVisa 90/entry 180/yr,0 eVisa req since Apr2025,$$$,600-900 EST Sep2026 shoulder,40-70 EST,4,Dec-Feb + Jul,yes,"Car-free island, warm calm water good for swim. BUT boat-access only, pricey, weak fiber = risky for interview season",none material; isolated logistics,5.9
Trancoso,Bahia NE,Praia dos Nativos + Praia do Espelho,sea,Brazil eVisa 90/entry 180/yr,0 eVisa req since Apr2025,$$$$,900-1400 EST Sep2026 shoulder,70-140 EST,4,Dec-Feb + Jul,yes,"Warm, gorgeous, but jet-set expensive = blows budget. Not a holding-pattern node. Beach run great; swim calm",none material; high-end enclave,5.4
Ubatuba,Sao Paulo SE,Praia Grande + Itamambuca,sea,Brazil eVisa 90/entry 180/yr,0 eVisa req since Apr2025,$$,420-620 EST Sep2026 shoulder,30-48 EST,3,Dec-Feb + Jul,partial,"Water ~21C Jul (cool, wetsuit for long swim). Green-coast rainforest, many beaches. Dry sunny Jul. Rain in summer",low; quiet coast,6.0
Paraty,Rio de Janeiro SE,Baia de Paraty + island beaches,sea,Brazil eVisa 90/entry 180/yr,0 eVisa req since Apr2025,$$,450-650 EST Sep2026 shoulder,32-52 EST,3,Dec-Feb + festivals,partial,"Colonial charm, bay swim ~22-23C Jul. Boat-access best beaches. Wetter microclimate; infra moderate",low; tourist historic town,5.8
Ilhabela,Sao Paulo SE,Praia do Curral + island coves,sea,Brazil eVisa 90/entry 180/yr,0 eVisa req since Apr2025,$$$,550-800 EST Sep2026 shoulder,40-65 EST,3,Dec-Feb + Jul,partial,"Island (ferry), water ~21-22C Jul. Sailing hub. Notorious borrachudo (biting flies). Pricey + logistics",low; ferry logistics + insects,5.5
Ubatuba (Itamambuca cluster),Sao Paulo SE,Praia de Itamambuca,sea,Brazil eVisa 90/entry 180/yr,0 eVisa req since Apr2025,$$,400-600 EST Sep2026 shoulder,30-48 EST,3,Dec-Feb,partial,"Surf beach north of town. Cool Jul water. Quiet, nature-heavy, thin services for interview season",low; quiet,5.6
Florianopolis (Lagoa da Conceicao),Santa Catarina South,Lagoa da Conceicao + Praia Mole,lagoon + sea,Brazil eVisa 90/entry 180/yr,0 eVisa req since Apr2025,$$$,600-850 EST Sep2026 shoulder,45-75 EST,3,Dec-Mar,no,"BEST nomad infra + fiber in Brazil, Ironman course. BUT sea ~17-18C Jul-Nov (wetsuit only). Only warms Dec+. Lagoon also cold",Wrong season for his window; safe city,5.2
Garopaba,Santa Catarina South,Praia da Ferrugem + Praia do Silveira,sea,Brazil eVisa 90/entry 180/yr,0 eVisa req since Apr2025,$$,420-620 EST Sep2026 shoulder,32-52 EST,2,Dec-Mar,no,"Surf/tri town near Ironman. Sea ~16C Jul (cold, wetsuit essential). Not swimmable his window. Warms Dec+",Wrong season for his window,4.8
Imbituba,Santa Catarina South,Praia do Rosa + Praia da Vila,sea,Brazil eVisa 90/entry 180/yr,0 eVisa req since Apr2025,$$,400-600 EST Sep2026 shoulder,30-50 EST,2,Dec-Mar,no,"Ironman Brazil region, right whales Jun-Nov. Sea ~16-17C Jul, cold. Not warm-now. Warms Dec+",Wrong season for his window,4.6
Bombinhas,Santa Catarina South,Praia de Bombinhas + Mariscal,sea,Brazil eVisa 90/entry 180/yr,0 eVisa req since Apr2025,$$$,500-720 EST Sep2026 shoulder,38-62 EST,3,Dec-Mar,no,"Clear water diving spot but ~17-18C Jul. Pricey peninsula, summer-only vibe. Not his window",Wrong season for his window,4.4
Florianopolis (Praia Mole/Barra),Santa Catarina South,Praia Mole + Barra da Lagoa,sea + lagoon,Brazil eVisa 90/entry 180/yr,0 eVisa req since Apr2025,$$$,580-820 EST Sep2026 shoulder,45-72 EST,3,Dec-Mar,no,"Surf beaches, great infra, but cold Jul-Nov sea. Only viable Dec+. Note for a summer pivot not now",Wrong season for his window,4.5
Rio de Janeiro (Copacabana/Ipanema),Rio de Janeiro SE,Copacabana + Ipanema,sea,Brazil eVisa 90/entry 180/yr,0 eVisa req since Apr2025,$$$,700-1000 EST Sep2026 shoulder,50-90 EST,4,Dec-Feb + Carnival,yes,"World beaches, water ~22-23C Jul swimmable, best air links + fiber. BUT over budget + serious urban crime layers","Significant urban crime (favela proximity,  robbery,  express kidnap); flagged",4.0
Salvador (Barra/Rio Vermelho),Bahia NE,Porto da Barra + Farol da Barra,sea,Brazil eVisa 90/entry 180/yr,0 eVisa req since Apr2025,$$,480-680 EST Sep2026 shoulder,32-55 EST,3,Dec-Feb + Carnival,yes,"Warm calm Porto da Barra bay swim, rich culture, airport. BUT highest-homicide capital (~53/100k); heavy safety layer",Highest homicide capital; robbery + gang violence outside tourist zones; flagged,3.6
Fernando de Noronha,Pernambuco NE (island),Baia do Sancho + Baia dos Porcos,sea,Brazil eVisa 90/entry 180/yr,0 eVisa req since Apr2025,$$$$,1200-2000+ EST Sep2026 shoulder,150-300 EST,4,year-round capped,yes,"World-class water + swim, but TPA eco-tax ~R106/day (~EUR18) ON TOP of lodging + capped 11k visitors/mo. Budget-killer",Restricted access + extreme cost; not a holding-pattern base; flagged,3.2
