scan,town,country_or_region,water_body,type,score,flag,vibe_note,suggested_media_search
Eastern Europe,Bled,Slovenia,Lake Bled,lake,7.5,,"Iconic lake 22-24C, clean open-water swim loop ~6km; serious Julian Alps climbing (Vrsic, Pokljuka); rowing culture; premium prices; Ljubljana airport 40min",Bled Slovenia beach aerial drone 4k
Eastern Europe,Klaipeda,Lithuania,Baltic + Curonian Lagoon,sea,7.4,,Working port city (year-round life); Baltic 18-21C wetsuit at Smiltyne; flat cycling onto Curonian Spit; ferry to Nida; solid internet + airport,Klaipeda Lithuania beach aerial drone 4k
Eastern Europe,Burgas,Bulgaria,Black Sea,sea,7.4,,"Sandy Black Sea 24-26C; big Sea Garden run park; flat rides to Sozopol/Pomorie; euro since Jan 2026; airport; less flashy than Varna, real city",Burgas Bulgaria beach aerial drone 4k
Eastern Europe,Saaremaa (Kuressaare),Estonia,Baltic,sea,7.3,,"Flat-road cycling heaven, near-zero traffic; shallow-bay swim 19-22C; Kuressaare resort infra + clinic; ferry access; deeply quiet, spa culture",Saaremaa Estonia beach aerial drone 4k
Eastern Europe,Constanta,Romania,Black Sea,sea,7.2,,Working port + Mamaia strip; sandy Black Sea 24-26C; flat promenade; Lake Siutghiol adjacent for calm swim; airport; Romania now full Schengen (burns days),Constanta Romania beach aerial drone 4k
Eastern Europe,Herceg Novi,Montenegro,Bay of Kotor (Adriatic),sea,7.2,,"Bay mouth, cleaner open sea than inner bay 24-26C; steep stairs-town (great for run/hill reps); Orjen climbing; own-clock EUR; quieter than Budva",Herceg Novi Montenegro beach aerial drone 4k
Eastern Europe,Hvar,Croatia,Adriatic,sea,7.0,,"Crystal Adriatic 25-27C, superb open-water; steep island climbs; but small, very expensive summer, party-heavy, ferry-dependent logistics",Hvar Croatia beach aerial drone 4k
Eastern Europe,Mamaia,Romania,Black Sea + Lake Siutghiol,sea,6.9,,"Sandbar resort: sea one side (24-26C sandy), Lake Siutghiol other (flat-water swim/paddle); flat; package-tourism strip, thin off-season",Mamaia Romania beach aerial drone 4k
Eastern Europe,Palanga,Lithuania,Baltic,sea,6.9,,Baltic beach resort 18-21C wetsuit; long flat promenade run; pine-forest flat cycling; but extreme seasonal price spike + dead off-season,Palanga Lithuania beach aerial drone 4k
Eastern Europe,Jurmala,Latvia,Gulf of Riga (Baltic),sea,6.8,,Long sandy Baltic 19-22C; flat 20km+ beach for run; Riga 30min for airport/internet; spa-resort crowd; Latvia DNV ~EUR 3400/mo unlock,Jurmala Latvia beach aerial drone 4k
Eastern Europe,Piran,Slovenia,Adriatic,sea,6.8,,"Slovenia's tiny Adriatic gem 24-26C; rocky swim entries; coastal cycling limited (short coastline); very compact, day-tripper heavy; charming",Piran Slovenia beach aerial drone 4k
Eastern Europe,Saranda,Albania,Ionian (riviera),sea,6.8,cycling-road-safety,Spectacular Ionian 24-27C clear water; Llogara/riviera climbing epic; own-clock (no Schengen burn); FLAG sketchy drivers + tight shoulders for cycling,Saranda Albania beach aerial drone 4k
Eastern Europe,Bohinj,Slovenia,Lake Bohinj,lake,6.7,,"Wilder/quieter than Bled, lake 20-22C clean swim; serious Alpine climbing + trail running; fewer monthly rentals, more remote; Ljubljana airport 1hr",Bohinj Slovenia beach aerial drone 4k
Eastern Europe,Vlore,Albania,Adriatic/Ionian riviera,sea,6.6,cycling-road-safety,"Riviera gateway, sea 24-27C; legendary Llogara Pass climb starts here; own-clock EUR-free days; FLAG dangerous coastal-road cycling, aggressive traffic",Vlore Albania beach aerial drone 4k
Eastern Europe,Hiiumaa (Kardla),Estonia,Baltic,sea,6.5,,"Flat-road cycling paradise, near-zero traffic; cool shallow swim 18-21C; very sleepy, thin rental stock + services; ferry-dependent; deep quiet",Hiiumaa Estonia beach aerial drone 4k
Eastern Europe,Pomorie,Bulgaria,Black Sea + salt lake,sea,6.5,,"Sandy Black Sea 24-26C + therapeutic salt lake; flat quiet promenade; small resort, cheaper than Varna; euro since Jan 2026; low-key family crowd",Pomorie Bulgaria beach aerial drone 4k
Eastern Europe,Neringa/Juodkrante,Lithuania,Curonian Lagoon + Baltic,sea,6.4,,"Quieter spit village; warm lagoon swim + open Baltic; flat traffic-free cycling; UNESCO dunes; thin winter services, ferry access",Neringa/Juodkrante Lithuania beach aerial drone 4k
Eastern Europe,Sozopol,Bulgaria,Black Sea,sea,6.4,,"Old-town peninsula, Black Sea 24-26C sandy coves; flat rides to Burgas; euro since Jan 2026; charming but small + tourist-dense old town in Aug",Sozopol Bulgaria beach aerial drone 4k
Eastern Europe,Kolobrzeg,Poland,Baltic,sea,6.3,,Baltic spa resort 18-21C wetsuit; long flat beach promenade run; flat coastal cycling; German-tourist heavy; real town off-season; regional airport,Kolobrzeg Poland beach aerial drone 4k
Eastern Europe,Dhermi/Himare,Albania,Ionian (riviera),sea,6.3,cycling-road-safety-thin-infra,Most beautiful Albanian riviera water 25-27C; epic climbing terrain; own-clock; FLAG very sketchy tight cliff roads for cycling + thin monthly rentals/services,Dhermi/Himare Albania beach aerial drone 4k
Eastern Europe,Wladyslawowo/Hel,Poland,Baltic,sea,6.2,,"Hel Peninsula: Baltic one side + calm bay other (kite/swim); flat spit cycling near-traffic-free; windsurf scene; seasonal, thinner off-season",Wladyslawowo/Hel Poland beach aerial drone 4k
Eastern Europe,Durres,Albania,Adriatic,sea,6.0,water-quality-traffic,Long sandy Adriatic 24-26C; flat promenade (better for cycling than the riviera); own-clock; FLAG water-quality concerns near port + urban-traffic safety,Durres Albania beach aerial drone 4k
Eastern Europe,Golden Sands,Bulgaria,Black Sea,sea,5.9,,"Sandy Black Sea 24-26C; flat; but pure package-resort strip, fails Anti-Cancun (no resident life off-season); euro since Jan 2026",Golden Sands Bulgaria beach aerial drone 4k
Africa,Tamarin,Mauritius,Tamarin Bay + lagoon,sea,8.7,none,Best all-round base: open-water bay + dolphin swims + island best road cycling (Black River gorges) + trail; local tri at Le Morne,Tamarin Mauritius beach aerial drone 4k
Africa,Agadir,Morocco,Agadir Bay (Atlantic),sea,8.5,none,Only reliable calm open-water bay swim on MA coast (cool 16-22C) + flat Corniche run/ride + surf climbs 40min north,Agadir Morocco beach aerial drone 4k
Africa,El Gouna,Egypt,Red Sea + 5sqkm lagoons,sea,8.5,none,Purpose-built tri destination (lagoon swim + flat paved bike/run); Egypt best internet + coworking,El Gouna Egypt beach aerial drone 4k
Africa,Dahab,Egypt,Red Sea Gulf of Aqaba,sea,8.4,none,Elite flat-water open swim (Blue Hole/Lighthouse) + desert cycling; cheapest warm-water base; weak internet is the catch,Dahab Egypt beach aerial drone 4k
Africa,Diani Beach,Kenya,Indian Ocean reef lagoon,sea,8.3,Avoid Likoni Ferry; fly Ukunda,Strongest Kenya tri: flat lagoon swim (tidal) + kite capital + long flat beach road run; real coliving (Skippers),Diani Beach Kenya beach aerial drone 4k
Africa,Wilderness,South Africa,Touw River lagoon + Indian Ocean,sea+lake,8.2,Load-shedding ENDED 2026,Best SA all-round: calm lagoon/river open-water swim + Garden Route road cycling + forest/beach trails; George airport 15min,Wilderness South Africa beach aerial drone 4k
Africa,Paje,Zanzibar,Indian Ocean reef lagoon,sea,8.1,none,Kite capital + strongest nomad/coliving scene; swim is tide-locked (train around high tide),Paje Zanzibar beach aerial drone 4k
Africa,Sedgefield,South Africa,Swartvlei lake + lagoon,lake+sea,8.1,Load-shedding ENDED 2026,Freshwater lake open-water swim (Swartvlei) + Garden Route cycling + trails; slow-town calm; Africas first Cittaslow,Sedgefield South Africa beach aerial drone 4k
Africa,Mindelo,Cape Verde,Porto Grande Bay + Baia das Gatas,sea,8.0,none,Best-balanced CV base: warm calm swims + real volcanic hills for bike/run + living cultural city,Mindelo Cape Verde beach aerial drone 4k
Africa,Dakar,Senegal,Atlantic (Almadies/Ngor/Yoff),sea,7.9,Petty crime/bag-snatching; ride early,Warm swimmable year-round (20-27C) + world-class surf + Corniche running artery; francophone asset; city cycling tough,Dakar Senegal beach aerial drone 4k
Africa,Flic-en-Flac,Mauritius,Indian Ocean lagoon,sea,7.9,Watch after-dark petty theft,Best pure lagoon swim (long calm 8km) + quick access to Black River hills + beachfront run; very safe,Flic-en-Flac Mauritius beach aerial drone 4k
Africa,Santa Maria,Cape Verde,Atlantic sheltered bay (Sal),sea,7.8,none,Warm calm bay swim (22-27C no wetsuit) + reliable kite wind + flat run; little elevation for cycling,Santa Maria Cape Verde beach aerial drone 4k
Africa,Taghazout,Morocco,Atlantic surf bay,sea,7.8,none,Excellent bike (Paradise Valley climbs) + run + surf; swim cold wetsuit surf-dominated; strong nomad base,Taghazout Morocco beach aerial drone 4k
Africa,Muizenberg,South Africa,False Bay (Indian Ocean influ),sea,7.8,Situational awareness after dark; load-shedding ENDED,Best-value warmish CT swim (False Bay 19-21C summer) + surf-school beach + Peninsula cycling + Table Mtn trails,Muizenberg South Africa beach aerial drone 4k
Africa,Tofo,Mozambique,Indian Ocean,sea,7.7,SAFE south; Cabo Delgado far north is Do-Not-Travel; cyclone-season road risk,Warmest tropical open-water (24-30C) + whale sharks/mantas + surf; elite swim + beach run; weak road bike,Tofo Mozambique beach aerial drone 4k
Africa,Vilanculos,Mozambique,Indian Ocean (Bazaruto gateway),sea,7.6,SAFE south; Cabo Delgado far north Do-Not-Travel; cyclone-season flooding 2026,Warm calm clear water (30m viz) superb open-water + snorkel; own airport (daily JNB); weak road bike,Vilanculos Mozambique beach aerial drone 4k
Africa,Jambiani,Zanzibar,Indian Ocean reef lagoon,sea,7.6,none,Quiet-focus pick: authentic village + growing nomad scene; swim best at high tide (recedes 500m+),Jambiani Zanzibar beach aerial drone 4k
Africa,Kendwa,Zanzibar,Indian Ocean open beach,sea,7.5,none,Best pure swim on island: most stable tide 24/7 deep water; resort-forward thin for work/community,Kendwa Zanzibar beach aerial drone 4k
Africa,Sal Rei,Cape Verde,Atlantic (Boa Vista),sea,7.5,none,Warm calm swim near town + elite steady kite wind + endless flat beach run; monotonous flat cycling,Sal Rei Cape Verde beach aerial drone 4k
Africa,Mirleft,Morocco,Atlantic coves,sea,7.5,none,Underrated balanced base: semi-calm cove swims + low-traffic Anti-Atlas climbs + cliff runs; cheap; thin services,Mirleft Morocco beach aerial drone 4k
Africa,Watamu,Kenya,Indian Ocean marine park,sea,7.4,South edge of safe zone; do not travel coast N of Malindi,Strong quiet swim town (marine-park lagoons Turtle Bay) + calm; weaker structured bike/run; thin nomad scene,Watamu Kenya beach aerial drone 4k
Africa,Nungwi,Zanzibar,Indian Ocean open beach,sea,7.3,none,Excellent all-day deep-water swim (minimal tide); heavy resort/party; no coworking,Nungwi Zanzibar beach aerial drone 4k
Africa,Pereybere,Mauritius,Indian Ocean lagoon,sea,7.3,Routine petty-theft caution,Reliably calm lagoon swim + snorkel + coastal run; quieter than Grand Baie; modest bike; very safe,Pereybere Mauritius beach aerial drone 4k
Africa,Essaouira,Morocco,Baie dEssaouira (Atlantic),sea,7.2,none,Strong beach/ramparts run + elite wind-sport; cold wind-chopped swim + gusty bike; real fishing-port town,Essaouira Morocco beach aerial drone 4k
Africa,Oualidia,Morocco,Oualidia lagoon,lagoon,7.2,none,Calm-swim gem: flatwater lagoon open-water + beginner surf + quiet rural riding; limited pool/gym; no nomad hub,Oualidia Morocco beach aerial drone 4k
Africa,Grand Baie,Mauritius,Indian Ocean sheltered bay,sea,7.1,Named for petty theft at night,Good calm bay swim (mind boats) + coastal run; weaker flatter bike; lively hub but party-heavy,Grand Baie Mauritius beach aerial drone 4k
Africa,Sidi Ifni,Morocco,Atlantic (open + town beach),sea,7.1,none,Solitude/volume base: calmer-than-average town beach wetsuit swims + cliff riding + uncrowded surf; thin services,Sidi Ifni Morocco beach aerial drone 4k
Africa,Matemwe,Zanzibar,Indian Ocean lagoon (Mnemba),sea,7.0,none,World-class Mnemba snorkel/dive + long empty dawn runs; lagoon swim tide-dependent; boutique-quiet not nomad hub,Matemwe Zanzibar beach aerial drone 4k
Africa,Dakhla,Western Sahara (MA-admin),Dakhla lagoon + Atlantic,lagoon,7.0,Western Sahara disputed territory; practically stable and tourist-open; wind caveat,Warmest calm MA lagoon (18-24C) wind-permitting + flat riding; kite-first; relentless wind compromises swim,Dakhla Western Sahara (MA-admin) beach aerial drone 4k
Africa,Knysna,South Africa,Knysna Lagoon,lake+sea,7.0,Load-shedding ENDED 2026,Lagoon open-water swim (watch tidal flow at Heads) + Garden Route cycling + forest trails; most touristed GR hub,Knysna South Africa beach aerial drone 4k
Africa,Malindi,Kenya,Indian Ocean + marine park,sea,6.9,Sits AT northern edge of safe zone; do not travel coast N of Malindi,Authentic Swahili town (Little Italy) + cheapest of Kenya trio; weakest clean-water swim (Sabaki silt seasonal),Malindi Kenya beach aerial drone 4k
Africa,Plettenberg Bay,South Africa,Indian Ocean (6 Blue Flag),sea,6.9,Load-shedding ENDED 2026,Good ocean swimming (Robberg 18-22C) + Garden Route cycling + Robberg peninsula trail run; upmarket affluent town,Plettenberg Bay South Africa beach aerial drone 4k
Africa,Nkhata Bay,Malawi,Lake Malawi (northern),lake,6.8,Bilharzia (praziquantel post-trip); limited medical; malaria; power cuts,Excellent warm clear freshwater open-water (best-viz lake swim) + hill trails; not a road-bike base,Nkhata Bay Malawi beach aerial drone 4k
Africa,Cape Maclear,Malawi,Lake Malawi (southern),lake,6.7,Bilharzia HIGHER here (praziquantel); limited medical; malaria; power cuts,Warm freshwater open-water swim + village/park trail runs; no road cycling; backpacker HQ,Cape Maclear Malawi beach aerial drone 4k
Africa,Cape Town,South Africa,Atlantic Seaboard (Sea Point),sea,6.7,High aggregate crime; Sea Point safer; awareness needed; load-shedding ENDED,World-class cycling (Cycle Tour) + elite Table Mtn trail running; cold Atlantic swim (12-18C wetsuit; Sea Point tidal pool),Cape Town South Africa beach aerial drone 4k
Africa,Hammamet,Tunisia,Mediterranean (Gulf),sea,6.7,High-caution terrorism advisory countrywide (resort not avoid-zone),Solid summer open-water swim (24-27C) + flat coastal cycling; cool seasonal winter (15C); no marquee tri,Hammamet Tunisia beach aerial drone 4k
Africa,Sousse,Tunisia,Mediterranean (Sahel),sea,6.6,2015 beach-attack reference site; security reinforced; caution advisory,Flat corniche cycling + summer sea swim + near Monastir tri scene; strong resident city life + UNESCO medina,Sousse Tunisia beach aerial drone 4k
Africa,Monastir,Tunisia,Mediterranean (Sahel + marina),sea,6.6,High-caution terrorism advisory countrywide (resort not avoid-zone),Best Tunisia tri fit: hosts Monastir Intl Triathlon + flat coast + marina swim; airport on doorstep,Monastir Tunisia beach aerial drone 4k
Africa,Kalk Bay,South Africa,False Bay tidal pools,sea,6.5,Situational awareness; load-shedding ENDED,Tidal-pool laps (not big open water) + Boyes Drive/Peninsula cycling + immediate mountain trails; bohemian fishing village,Kalk Bay South Africa beach aerial drone 4k
Africa,Djerba Houmt Souk,Tunisia,Mediterranean island,sea,6.5,2023 Ghriba synagogue attack reference; caution advisory,Dead-flat island roads (great cycling/running) + summer sea swim; genuine walkable town; leisure profile,Djerba Houmt Souk Tunisia beach aerial drone 4k
Africa,Kololi Kotu,The Gambia,Atlantic beach strip,sea,6.4,Bumsters/harassment + petty crime on strip; limited advanced medical,Warm ocean (28-29C Oct) long flat beach swim/run; cheapest country; flat coastal roads variable quality,Kololi Kotu The Gambia beach aerial drone 4k
Africa,Sahl Hasheesh,Egypt,Red Sea sheltered bay,sea,6.4,High-caution terrorism advisory countrywide (resort not avoid-zone),Calm-bay house-reef swim + flat roads; closest to HRG airport (20min); resort strip no tri community,Sahl Hasheesh Egypt beach aerial drone 4k
Africa,Hurghada,Egypt,Red Sea open coast,sea,6.3,High-caution terrorism advisory; scam/harassment realities; resort not avoid-zone,Open-water swim viable + flat desert roads (Hurghada Triclub); mass package hub; own international airport,Hurghada Egypt beach aerial drone 4k
Africa,Popenguine,Senegal,Atlantic (Petite-Cote),sea,6.3,Standard Senegal petty-crime awareness; limited services,Warm choppy open beach swim (caution) + quiet coastal riding + nature-reserve ridge trail running; francophone,Popenguine Senegal beach aerial drone 4k
Africa,Swakopmund,Namibia,Atlantic (Benguela current),sea,6.2,Safe town remain vigilant; regionally remote medical,Flat desert road-bike miles + firm beach/dune runs; cold foggy Atlantic (13-17C) poor swim use pool; German-Namibian town,Swakopmund Namibia beach aerial drone 4k
Africa,Hermanus,South Africa,Walker Bay (Atlantic),sea,6.1,Load-shedding ENDED; no commercial airport (CPT 1.5h),Excellent quiet coastal + mountain cycling + Fernkloof trail running; cold limited-spot swim (whale town not swim town),Hermanus South Africa beach aerial drone 4k
Africa,Marsa Alam,Egypt,Red Sea (southern reefs),sea,6.0,Remote; long distances to hospitals; caution advisory,Best-in-class pristine open-water swim + empty roads; no tri scene; logistically isolated; thin long-stay market,Marsa Alam Egypt beach aerial drone 4k
Africa,Saly,Senegal,Atlantic (Petite-Cote),sea,5.8,ANTI-CANCUN FAIL: purpose-built package-tourism enclave; francophone; secured but touristy,Calm warm Blue Flag beach = easiest Senegal comfortable swim + beach run + sports clubs; low cultural texture,Saly Senegal beach aerial drone 4k
Africa,Jeffreys Bay,South Africa,Indian Ocean (Supertubes),sea,5.7,Load-shedding ENDED; PLZ airport 1h,World surf mecca + quiet coastal cycling + dune trail run; cold (14-22C wetsuit) surf-dominated poor for flat swim sets,Jeffreys Bay South Africa beach aerial drone 4k
Africa,Stone Town,Zanzibar,Indian Ocean harbor front,sea,5.4,Election-period tension historically centered here; market pickpocketing,Culture/logistics/airport base NOT a swim base (working port murky); transfer N/E to swim; worst tri base best transfers,Stone Town Zanzibar beach aerial drone 4k
Brazil,Joao Pessoa,Paraiba NE,Praia de Tambau + Praia do Cabo Branco,sea,8.9,Safer than Fortaleza/Recife/Natal per multiple sources,"Cheapest coastal capital. Warm swim year-round ~27C. Flat promenade great for run/bike. Calm reef water, ok open-water swim",Joao Pessoa Paraiba NE beach aerial drone 4k
Brazil,Pipa (Praia da Pipa),Rio Grande do Norte NE,Praia da Pipa + Praia do Amor,sea,8.7,none material; petty theft normal,"Single person ~USD887/mo. Warm ~27C year-round. Surf town, coworking + nomad scene. Swells can limit flat swim; dolphins in bay",Pipa Rio Grande do Norte NE beach aerial drone 4k
Brazil,Fortaleza (Praia do Futuro),Ceara NE,Praia do Futuro + Praia de Iracema,sea,8.4,Urban crime layer; stay Meireles/Aldeota beach zones avoid periphery,"Big-city infra, subsea cable = strong fiber, real airport. Warm ~28C. Long beachfront run/bike. Interview-grade connectivity",Fortaleza Ceara NE beach aerial drone 4k
Brazil,Cumbuco,Ceara NE,Praia de Cumbuco + Lagoa do Cauipe,sea + lagoon,8.1,none material; small resort strip,"30min from Fortaleza airport. Jul-Dec kitesurf wind (great cross-train, but chop hurts flat open-water swim). Warm lagoon swims",Cumbuco Ceara NE beach aerial drone 4k
Brazil,Joao Pessoa (Cabo Branco cluster),Paraiba NE,Praia de Cabo Branco,sea,8.0,low; calmest NE capital,"Quieter southern beaches of JP. Retiree-calm, safe, cheap. Warm year-round. Good for disciplined training + interview quiet",Joao Pessoa Paraiba NE beach aerial drone 4k
Brazil,Natal (Ponta Negra),Rio Grande do Norte NE,Praia de Ponta Negra,sea,7.8,Urban crime layer; stay Ponta Negra tourist zone,"Airport hub for NE, warm ~28C. Ponta Negra bay swim ok. Cheaper than SE. Base here or gateway to Pipa",Natal Rio Grande do Norte NE beach aerial drone 4k
Brazil,Recife (Boa Viagem),Pernambuco NE,Praia de Boa Viagem,sea,7.2,Shark risk Boa Viagem + urban robbery; high homicide capital,"Best NE fiber/airport for interviews, big-city services. Warm. BUT shark-attack advisory on Boa Viagem limits open-water sea swim",Recife Pernambuco NE beach aerial drone 4k
Brazil,Porto de Galinhas,Pernambuco NE,Piscinas Naturais + Praia de Muro Alto,sea + reef pools,7.1,none material; resort town,"Warm reef pools (calm, tide-dependent). Resort infra. ~1h from Recife airport. Pricier tourist strip; flat swim in pools only",Porto de Galinhas Pernambuco NE beach aerial drone 4k
Brazil,Itacare,Bahia NE,Praia da Concha + Praia da Tiririca,sea,7.0,low; calm surf town,"Rent from R2000 (~EUR340). Felt safe walking evenings. Warm. Surf/nature; infra thinner, weaker fiber. Trail run heaven",Itacare Bahia NE beach aerial drone 4k
Brazil,Maceio (Pajucara),Alagoas NE,Praia de Pajucara + natural pools,sea + reef pools,6.9,Urban crime layer (homicide ~46/100k); tourist strip ok,"Warm calm reef-protected water, good flat swim. Cheap. BUT high homicide capital; stay Pajucara/Ponta Verde beach zone",Maceio Alagoas NE beach aerial drone 4k
Brazil,Buzios (Armacao dos Buzios),Rio de Janeiro SE,Praia de Geriba + Ferradura,sea,6.7,low; upscale resort town,"Chic peninsula, water ~24C in Jul (swimmable). Many beaches for open-water. Pricey, over budget ceiling. Good tri terrain",Buzios Rio de Janeiro SE beach aerial drone 4k
Brazil,Maragogi,Alagoas NE,Gales natural pools,sea + reef pools,6.6,low; small resort,"Warm turquoise reef pools, calm. Small resort town, thin infra + weak nomad scene. Swim limited to pools/tide",Maragogi Alagoas NE beach aerial drone 4k
Brazil,Cabo Frio,Rio de Janeiro SE,Praia do Forte + Praia das Dunas,sea,6.4,Petty theft; watch late-night,"Water ~22C Jul (cooler, wetsuit-optional). Cheaper than Buzios. Dunes + long beach for run/bike. Upwelling = cold snaps",Cabo Frio Rio de Janeiro SE beach aerial drone 4k
Brazil,Arraial do Cabo,Rio de Janeiro SE,Praia dos Anjos + Prainha,sea,6.3,low; day-trip crowds,"Clearest water in region (Brazilian Caribbean), ~22-24C Jul. Cold-upwelling variable. Small town, epic snorkel/swim",Arraial do Cabo Rio de Janeiro SE beach aerial drone 4k
Brazil,Arraial dAjuda,Bahia NE,Praia de Pitinga + Mucuge,sea,6.2,low; gated-condo safe,"Warm, gated long-stay houses w/ security. Bohemian, near Porto Seguro airport. Pricier boho strip; infra moderate",Arraial dAjuda Bahia NE beach aerial drone 4k
Brazil,Ubatuba,Sao Paulo SE,Praia Grande + Itamambuca,sea,6.0,low; quiet coast,"Water ~21C Jul (cool, wetsuit for long swim). Green-coast rainforest, many beaches. Dry sunny Jul. Rain in summer",Ubatuba Sao Paulo SE beach aerial drone 4k
Brazil,Morro de Sao Paulo,Bahia NE,Segunda + Terceira Praia,sea,5.9,none material; isolated logistics,"Car-free island, warm calm water good for swim. BUT boat-access only, pricey, weak fiber = risky for interview season",Morro de Sao Paulo Bahia NE beach aerial drone 4k
Brazil,Paraty,Rio de Janeiro SE,Baia de Paraty + island beaches,sea,5.8,low; tourist historic town,"Colonial charm, bay swim ~22-23C Jul. Boat-access best beaches. Wetter microclimate; infra moderate",Paraty Rio de Janeiro SE beach aerial drone 4k
Brazil,Ubatuba (Itamambuca cluster),Sao Paulo SE,Praia de Itamambuca,sea,5.6,low; quiet,"Surf beach north of town. Cool Jul water. Quiet, nature-heavy, thin services for interview season",Ubatuba Sao Paulo SE beach aerial drone 4k
Brazil,Ilhabela,Sao Paulo SE,Praia do Curral + island coves,sea,5.5,low; ferry logistics + insects,"Island (ferry), water ~21-22C Jul. Sailing hub. Notorious borrachudo (biting flies). Pricey + logistics",Ilhabela Sao Paulo SE beach aerial drone 4k
Brazil,Trancoso,Bahia NE,Praia dos Nativos + Praia do Espelho,sea,5.4,none material; high-end enclave,"Warm, gorgeous, but jet-set expensive = blows budget. Not a holding-pattern node. Beach run great; swim calm",Trancoso Bahia NE beach aerial drone 4k
